"Number","Line 1","Line 2","Line 3"
1643,"The %s chops you for %d damage!","The %s chops %s for %s damage!","The duergar lord clutches a black talisman, and vanishes in a flash!"
1644,,,"The dwarf's head splits open grotesquely, and a small creature leaps out!"
1645,,,"The dwarf's form shifts and changes into an amorphous beast!"
1646,"The %s slashes you with its claws for %d damage!","The %s slashes %s with its claws for %s damage!","The brain-eater splatters with the final blow."
1647,,"The %s %s your brain with psychic energy for %d damage!","The %s %s %s's brain with psychic energy for %s damage!"
1648,"The %s rips you for %d damage!","The %s rips %s for %s damage!","The shapeshifter dissolves into a pile of steaming goo."
1649,"The %s claws you for %d damage!","The %s claws %s for %s damage!","The winged insectile demon crumples to the ground with a whistling cry."
1650,,"The %s fires a thin %s at you for %d damage!","The %s fires a thin %s at %s for %s damage!"
1651,,"An explosion rocks you for %d damage!",
1652,,"The %s hurls a shimmering sphere on the ground!",
1653,,,"The %s sprays out a fine red mist!"
1654,,,"The %s sprays out a fine blue mist!"
1655,"The %s slashes you for %d damage!","The %s slashes %s for %s damage!","The rotting monstrosity falls dead, oozing out pus and bile."
1656,"The %s savagely slashes you for %d damage!","The %s savagely slashes %s for %s damage!",
1657,,"The %s %s a vile fluid on you for %d damage!","The %s %s a vile fluid on %s for %s damage!"
1658,,"You choke on the nauseating smell!",
1659,"A hidden panel slides open above you!",,
1660,"When you don't show him anything, he shrugs and continues his work.",,
1661,"When you don't show her anything, she snorts and turns her back.",,
1662,"This text block works.",,
1663,"%s savagely rips you for %d damage!","%s savagely rips %s for %s damage!",
1664,"%s lashes at you with a clawed tentacle!","%s %slashes at %s with a clawed tentacle!","%s lashes at you with a clawed tentacle, but you dodge!"
1665,"%s %slashes at %s with a %sclawed tentacle, but %s dodges!","%s %slashes at you with a %sclawed tentacle!","%s %slashes at %s with a %sclawed tentacle!"
1666,"%s devours you for %d damage!","%s devours %s for %s damage!",
1667,,"%s spews a jet of green droplets at you!","%s spews a jet of green droplets at %s!"
1668,,"Your flesh dissolves, causing you %d damage!","%s flesh dissolves, causing %s damage!"
1669,,"%s spews a cloud of green droplets into the air!",
1670,,"Your flesh is dissolved, causing you %d damage!",
1671,"You open the golden chest, and find...","%s opens a golden chest, and finds...",
1672,"You open the adamantite chest, and find...","%s opens an adamantite chest, and finds...",
1673,"You open the black iron chest, and find...","%s opens the black iron chest, and finds...",
1674,"You get a vague feeling of disapproval.",,
1675,"You do not have the Ice Tear.",,
1676,"You do not have the Eternal Fire.",,
1677,"You do not have the Heartstone.",,
1678,"You do not have the Storm Spirit.",,
1679,"You open the small cloth pouch, and find...","%s opens a small cloth pouch, and finds...",
1680,"A parchment!","A parchment!",
1681,"A ring!","A ring!",
1682,"You do not have any retchweed.",,
1683,"You do not have any nightshade.",,
1684,"You do not have an obsidian talisman.",,
1685,,"%s is transported by the obsidian obelisk!",
1686,,"%s arrives with a flash!",
1687,"%s chops you for %d damage!","%s chops %s for %s damage!","Champion Gudruk snarls at you in fury, and dies spitting up blood!"
1688,"%s all-out chops you for %d damage!","%s all-out chops %s for %s damage!",
1689,"%s critically chops you for %d damage!","%s critically chops %s for %s damage!",
1690,"You do not have the poison required.",,
1691,"You push the button, and a trapdoor opens beneath you!","%s pushes a button, and a trapdoor opens beneath you!",
1692,"You can't get to that right now!",,
1693,"You push the stone button, and the door swings open.","%s pushes the stone button, and the door swings open.",
1694,"You feel drained!",,
1695,,"A guardsman hears your unlawful attempt at picklocking!",
1696,"Trader Tull exlaims ""You do not have that to trade!""",,
1697,"Trader Tull hands you the item you traded for, plus the cash difference.","%s makes a trade with Trader Tull.",
1698,,"You are enveloped in a blinding flash!","%s vanishes in a blinding flash!"
1699,"You yell for the %s, who arrive and drag %s away to jail!","%s yells for the guards, who arrive and drag you away to jail!","%s yells for the %s, who arrive and drag %s away to jail!"
1700,"You are let out of jail by the guards, and released in the slums!","You are let out of jail by the guards, and released in the slums!","%s is dragged out of jail by the guards!"
1701,"%s takes %d cold damage!","You are chilled for %d damage!","%s is chilled for %s damage!"
1702,,"You are poisoned for %d damage!","%s is poisoned for %s damage!"
1703,,"You are burned for %d damage!","%s is burned for %s damage!"
1704,,"You are shocked for %d damage!","%s is shocked for %s damage!"
1705,"The %s whips you with a pseudopod for %d damage!","The %s whips %s with a pseudopod for %s damage!","The purple slime splits open with a chill burst of air."
1706,,,"The green slime bursts open with a rancid smell."
1707,,,"The red slime bursts into flame, and dissipates in a cloud of steam."
1708,,,"The azure slime pops open with the sharp smell of ozone."
1709,,,"The white jelly splits open with a disgusting pop."
1710,"When you don't show him anything, he snorts and goes back to work.",,
1711,"He says, ""It will cost you 2000 gold if you want me to work on this hide.""",,
1712,"You pull the rusty iron lever.","%s pulls the rusty iron lever.",
1713,"You clamber up through the filthy pipe.","%s climbs up through the filthy pipe.","%s arrives from a pool of sludge!"
1714,"You start down the slope, but lose your footing and slide down!","%s starts down the slope, but slips and slides down!","%s slides down the steeply sloping tunnel!"
1715,"You squeeze into the dark space underneath the manhole.","%s squeezes into the dark space beneath the manhole.","%s drops down from out of the dark shaft above."
1716,"A %s stalks in from %s.","The %s stalks out to %s.","The zombie cat leaps after you!"
1717,"The %s claws you for %d damage!","The %s claws %s for %s damage!","The zombie cat coughs up a hairball, and falls lifelessly."
1718,"The %s darts forward and bites you for %d damage!","The %s darts forward and bites %s for %s damage!","The rot worm pukes up black bile, and dies in writhing anguish."
1719,"The %s slashes you for %d damage!","The %s slashes %s for %s damage!","The leprous outcast falls dead, clutching spastically at the air."
1720,,"ppp","ppp"
1721,"A %s walks in from %s.","The %s walks out to %s.","The %s runs after you!"
1722,"The %s smacks you for %d damage!","The %s smacks %s for %s damage!","The dark dabbler clutches at his head in pain, and slumps down dead!"
1723,"A cleverly-concealed trapdoor creaks open!",,
1724,"open trapdoor %s",,
1725,"A stone door swings open with a grinding sound!",,
1726,"open stone door %s",,
1727,"push plate","press plate","push metal plate"
1728,"You push the metal plate, which depresses into the wall.","%s presses on the metal plate.",
1729,"The %s stabs you for %d damage!","The %s stabs %s for %s damage!","The thief collapses with a grunt."
1730,"The %s rips you for %d damage!","The %s rips %s for %s damage!","The smuggler spits up blood, and falls dead!"
1731,"The %s slashes you for %d damage!","The %s slashes %s for %s damage!","The smuggler boss lunges at you, but trips and falls dead."
1732,"Spikes shoot out from the walls and stab you viciously!","Spikes shoot out and stab %s viciously!","%s arrives, with severe lacerations."
1733,"Spikes shoot out of the wall and stab you viciously!","%s tries to disarm a trap, but triggers it instead!",
1734,"A %s strides into the room from %s.","The %s runs out to %s!",
1735,"The %s slashes you for %d damage!","The %s slashes %s for %s damage!","The half-orc sentry shouts for aid, and falls dead!"
1736,"The %s slices you for %d damage!","The %s slices %s for %s damage!","The orc warrior growls in hatred, and collapses."
1737,"The %s whacks you for %d damage!","The %s whacks %s for %s damage!","The orc shaman shrieks in agony, and falls dead!"
1738,"The %s slashes you for %d damage!","The %s slashes %s for %s damage!","The black orc boss roars in fury, coughs up blood, and falls dead!"
1739,"An arrow shoots out of the wall and strikes you!","An arrow shoots out and strikes %s!","%s walks in, bleeding from an arrow wound."
1740,"An arrow shoots out of the wall and strikes you!","An arrow shoots out of the wall and strikes %s!",
1741,"The %s rips you for %d damage!","The %s rips %s for %s damage!","The fire ant worker collapses, fluid oozing from its carapace."
1742,"The %s rips you for %s damage!","The %s rips %s for %s damage!","The fire ant soldier snaps at you, stumbles, and is still!"
1743,"You can move again.",,"You are held by the queen's spit!"
1744,,"The %s spits a large %s of liquid on you!","The %s spits a large %s of liquid on %s!"
1745,,"The %s spits a %s of liquid at you for %d damage!","The %s spits a %s of liquid at %s for %s damage!"
1746,"The %s rips you for %d damage!","The %s rips %s for %s damage!","The queen ant chitters madly, and collapses!"
1747,"%s skewers you for %d damage!","%s skewers %s for %s damage!","The bandit lord clutches his gut, spits up blood, and falls dead!"
1748,"small opening %s",,
1749,"You step on the slope begin to slide down uncontrollably!","%s steps onto the slope and begins to slide down uncontrollably!","With a shower of small stones, %s arrives, sliding down from above!"
1750,"climb tree","climb up","climb up tree"
1751,"You hoist yourself up onto a low branch, and begin to climb.","%s jumps and grabs onto a low branch, and begins to climb the tree.","%s climbs up from below."
1752,"climb tree","climb down","climb down tree"
1753,"You carefully begin to climb down.","%s carefully begins to climb down.","%s drops down from above!"
1754,"pull crank","push crank","turn crank"
1755,"You move the wooden crank, and the entrance door grinds open!","%s moves the wooden crank, and the entrance door grinds open!",
1756,"A concealed door swings open to the %s!",,
1757,"concealed door %s",,
1758,,,"The dark apprentice is shrouded by a dark aura, and falls dead!"
1759,,,"The dark mystic shrieks in agony, and bursts into shadowy flames!"
1760,,,"The dread mystic chants an unholy chant, and steps into the shadows!"
1761,"The swirling grey fog blocks your vision.",,
1762,"open panel %s",,
1763,"push wave","push carving","push jade carving"
1764,"You push the jade carving, and it moves slightly.","%s pushes the jade carving, which moves slightly.",
1765,"turn mountain","turn carving","turn obsidian carving"
1766,"You turn the obsidian carving to the left.","%s turns the obsidian carving to the left.",
1767,"turn fog","turn carving","turn white marble fog carving"
1768,"You turn the marble carving to the right.","%s turns the marble carving to the right.",
1769,"pull flame","pull carving","pull sunstone flame carving"
1770,"You pull the sunstone carving, and it moves slightly.","%s pulls the sunstone carving, which moves slightly.",
1771,"The towering statue slides backwards with a quiet grinding sound!",,
1772,"dark passage %s",,
1773,"The %s smashes you with its fist for %d damage!","The %s smashes %s with its fist for %s damage!","The flesh golem moans, collapses, and begins to decompose!"
1774,"The %s bludgeons you for %d damage!","The %s bludgeons %s for %s damage!","The ju-ju zombie falls dead, uttering a low moan."
1775,"crumbling passage %s",,
1776,"use fork west","use titanium fork west","aim fork west"
1777,"You aim the fork at the western wall, and it begins to vibrate!","%s aims a shining fork at the western wall, and it begins to vibrate!",
1778,"The western wall explodes in a shower of rubble!",,
1779,"crumbling hole %s",,
1780,"use fork east","use titanium fork east","aim fork east"
1781,"You aim the fork at the eastern wall, and it begins to vibrate!","%s aims a shining fork at the eastern wall, and it begins to vibrate!",
1782,"The eastern wall explodes in a shower of rubble!",,
1783,"use fork south","use titanium fork south","aim fork south"
1784,"You aim the fork at the southern wall, and it begins to vibrate!","%s aims a shining fork at the southern wall, and it begins to vibrate!",
1785,"The southern wall explodes in a shower of rubble!",,
1786,"The wall explodes in a shower of rubble!",,
1787,"use fork north","use titanium fork north","aim fork north"
1788,"You aim the fork at the northern wall, and it begins to vibrate!","%s aims a shining fork at the northern wall, and it begins to vibrate!",
1789,"use fork northeast","use titanium fork northeast","aim fork northeast"
1790,"You aim the fork at the northeastern wall, and it begins to vibrate!","%s aims a shining fork at the northeastern wall, and it begins to vibrate!",
1791,"use fork southwest","use titanium fork southwest","aim fork southwest"
1792,"You aim the fork at the southwestern wall, and it begins to vibrate!","%s aims a shining fork at the southwestern wall, and it begins to vibrate!",
1793,"use fork northwest","use titanium fork northwest","aim fork northwest"
1794,"You aim the fork at the northwestern wall, and it begins to vibrate!","%s aims a shining fork at the northwestern wall, and it begins to vibrate!",
1795,"use fork southeast","use titanium fork southeast","aim fork southeast"
1796,"You aim the fork at the southwestern wall, and it begins to vibrate!","%s aims a shining fork at the southwestern wall, and it begins to vibrate!",
1797,"The shimmering haze makes it impossible to see far this way.",,
1798,"The %s whomps you for %d damage!","The %s whomps %s for %s damage!","The twisted guard froths at the mouth, shrieks, and falls dead!"
1799,,,"The insane mage cackles in madness, and falls twitching!"
1800,,,"The madman breaths his last breath, and falls dead."
1801,"The %s claws you for %d damage!","The %s claws %s for %s damage!","The foul creation falls with a heavy thump."
1802,"The %s gnaws you for %d damage!","The %s gnaws %s for %s damage!","The demonling screeches loudly, and falls oozing slime!"
1803,,"The %s spits a %s at you for %d damage!","The %s spits a %s at %s for %s damage!"
1804,"The %s savages you for %d damage!","The %s savages %s for %s damage!","The abomination roars in agony, vomits up blood, and dies!"
1805,"The %s devours you for %d damage!","The %s devours %s for %s damage!",
1806,"push red eye","push red","press red"
1807,"You press the statue's red eye, and it clicks inwards slightly.","%s presses the statue's red eye, which clicks inwards slightly.",
1808,"push blue eye","push blue","press blue"
1809,"You press the statue's blue eye, and it clicks inwards slightly.","%s presses the statue's blue eye, which clicks inwards slightly.",
1810,"push yellow eye","push yellow","press yellow"
1811,"You press the statue's yellow eye, and it clicks inwards slightly.","%s presses the statue's yellow eye, which clicks inwards slightly.",
1812,"A concealed doorway pops open to the %s!",,
1813,"concealed doorway %s",,
1814,"push orange eye","push orange","press orange"
1815,"You press the statue's orange eye, and it clicks inwards slightly.","%s presses the statue's orange eye, which clicks inwards slightly.",
1816,"push green eye","push green","press green"
1817,"You press the statue's green eye, which clicks inwards slightly.","%s presses the statue's green eye, which clicks inwards slightly.",
1818,"push violet eye","push violet","press violet"
1819,"You press the statue's violet eye, and it clicks in slightly.","%s presses the statue's violet eye, which clicks in slightly.",
1820,"push white eye","push white","press white"
1821,"You press the statue's white eye, and it clicks in slightly.","%s presses the statue's white eye, which clicks in slightly.",
1822,"push black eye","push black","press black"
1823,"You press the statue's black eye, and it clicks in slightly.","%s presses the statue's black eye, which clicks in slightly.",
1824,"turn statue","turn head","twist statue"
1825,"You grasp the ivory statue, and it turns easily on its base.","%s grasps the ivory statue, which turns easily when moved.",
1826,"The %s slices you for %d damage!","The %s slices %s for %s damage!","The shadow guard fades into nothingness."
1827,"You feel your mystical energies return.",,"Your powers are drained from you!"
1828,,"The %s exudes a strange, overpowering aura.",
1829,,"%s laughs contemptuously at you!","%s laughs contemptuously at %s!"
1830,"A yellowed note falls out of the dread mystic's tunic, and you pick it up.",,
1831,"Clutched in the smuggler's hand is a crumpled paper, which you grab.",,
1832,"The gnome alchemist says, ""Here's one. That will be 100 gold, please.""",,
1833,"""What! You do not have enough gold? Then why are you wasting my time!""",,
1834,"You quaff the bubbling white potion, but nothing happens.","%s quaffs a bubbling white potion.",
1835,"A tingling sensation comes over you, and you begin to float upwards!","%s drinks a bubbling white potion, and begins to float upwards!",
1836,"You float up past the waterfall, and land far above at the river's edge.","%s floats up through the hole which the Silver river thunders into.",
1837,"The mound of rubble is cleared, opening a passage to the north.",,
1838,"cleared rubble %s",,
1839,"After much sweat and trouble, you fail to unblock the entrance.","After much sweat and trouble, %s fails to unblock the entrance.",
1840,"After much sweat and trouble, you manage to clear the rubble.","After much sweat and trouble, %s manages to clear the rubble.",
1841,"The shadow guard whispers ""You may pass.""","The shadow guard whispers ""You may pass.""",
1842,"You quickly pluck an acid gland from the white jelly.",,
1843,"You gather some unfertilized eggs from the ant queen.",,
1844,"Rummaging through the brigand's clothing, you find a piece of quartz.",,
1845,"You grab a handful of the smaller roots and rip them out of the wall.",,
1846,"Morukai shakes his head, and says, ""You do not have the acid gland.""",,
1847,"Morukai shakes his head and says, ""You do not have the unfertilized eggs.""",,
1848,"Morukai shakes his head and says, ""You do not have the quartz I need.""",,
1849,"Morukai shakes his head and says, ""You do not have the cave roots.""",,
1850,"With a tone of annoyance, he says, ""I am not finished. Leave me be.""",,
1851,"The barrier dissolves with a crackling roar!",,
1852,"%s",,
1853,"touch rod barrier","destroy barrier","touch rod to barrier"
1854,"You touch the magical quartz rod to the shimmering barrier.","%s touches a glowing quartz rod to the shimmering barrier.",
1855,,,"The necromancer pleads to the Dark One for aid, and falls dead!"
1856,"A golden egg tumbles out of the necromancer's grasp, and you grab it.",,
1857,"When you do not produce the phoenix egg, Morukai waves you away.",,
1858,"You find a small key on the corpse of the flesh golem.",,
1859,"You step into the portal, and find yourself elsewhere!",,"%s steps into the portal, and disappears!"
1860,"You resist the poison, and take only partial damage!",,
1861,"You are unconscious.",,"You are unconscious."
1862,"Poison flows through your veins, and you pass out!",,"%s falls to the ground, unconscious."
1863,"An arrow fires out of the door and strikes %s for %d damage!",,"An arrow shoots out of the door and strikes %s for %s damage!"
1864,"A blade sweeps out and slices %s for %d damage!",,"A blade sweeps out and slices %s for %s damage!"
1865,"A spear flies out of the door and impales %s for %d damage!",,"A spear flies out of the door and impales %s for %s damage!"
1866,"A whirring sawblade swings out and rips %s for %d damage!",,"A whirring sawblade swings out and rips %s for %s damage!"
1867,"Your blood runs cold for a moment, but the feeling passes.",,
1868,"A needle springs out and stabs your finger!",,"A needle springs out and stabs %s's finger!"
1869,"Poison burns through your veins!",,
1870,,"You take %d damage from poison!",
1871,"You awaken, groggy and confused from the poison.","%s is unconscious.","You are unconscious."
1872,"You feel better.",,"You are drowsy and disoriented!"
1873,"Poison flows through your veins!",,
1874,"You are not the owner of the house!",,
1875,"It costs 25 gold pieces to make a new key.",,
1876,"You make a key.",,
1877,"You make a banner.",,
1878,"A jet of flame blasts forth and scorches %s for %d damage!",,"A jet of flame blasts forth and scorches %s for %s damage!"
1879,"A bolt of lightning streaks out and fries %s for %d damage!",,"A bolt of lightning streaks out and fries %s for %s damage!"
1880,"You do not have that trap.",,
1881,"You clear away the trap.",,
1882,"There is already a trap set here.",,
1883,"You carefully set up the trap.",,
1884,"Your banner is already placed here!",,
1885,"You do not have a banner to place!",,
1886,"You proudly strike your colours outside the door!",,
1887,"You have not set your banner here.",,
1888,"You get rid of your placed banner.",,
1889,"You make an emblem.",,
1890,"Battered and beaten, you are knocked unconscious and dragged off to jail!","Battered and beaten, you are knocked unconscious and dragged off to jail!","%s is knocked unconscious and dragged off to jail!"
1891,"You do not have a practice dummy to set up here.",,
1892,"The practice dummy must be set up in its own room.",,
1893,"Practice dummy placed.",,
1894,"There is no practice dummy here!",,
1895,"A sentry arrives at your call.",,
1896,"The %s slashes you for %d damage!","The %s slashes %s for %s damage!","The sentry collapses with a grunt."
1897,"The red guild creature rips you for %d damage!","The red guild creature rips %s for %s damage!","The red guild creature roars in fury, and vanishes!"
1898,"You do not have the necessary token.",,
1899,"A guard patrol walks in on your illegal activites!","A guard patrol walks in!",
1900,"You must be at least level 5 to participate in the tournament.",,
1901,"You must not have any runes before entering the tournament.",,
1902,"You enter the tournament, and receive your rune. Good luck!",,
1903,"The %s hacks you for %d damage!","The %s hacks %s for %s damage!","The orc warlord roars in fury, spits up black blood, and falls dead!"
1904,"The %s slashes you for %d damage!","The %s slashes %s for %s damage!","The orc captain cries out for his troops, and collapses!"
1905,"The %s slices you for %d damage!","The %s slices %s for %s damage!","The orc warrior slips in his own blood, and falls dead."
1906,"You rub your %s!",,"%s rubs a %s!"
1907,"You point your %s at %s!","%s points a %s at you!","%s points a %s at %s!"
1908,"You brandish your %s at %s!","%s brandishes a %s at you!","%s brandishes a %s at %s!"
1909,"The orb cracks loudly, and crumbles to dust.",,
1910,"The wand snaps, and is consumed in smoke.",,
1911,"The rod breaks with a sound like thunder.",,
1912,"The guildmaster shakes his head, saying, ""What are you talking about?""",,
1913,"""Excellent!"" he exclaims. ""Here is the 500 gold pieces bounty.""",,
1914,"With a proud flourish, you hand the severed orc-head to the guildmaster.",,
1915,"You toss the bloody iron badge upon the guildmaster's desk.",,
1916,"With a grin, he exclaims, ""Superb! Please take these items as a reward.""",,
1917,"You toss the bloody black badge on the guildmaster's desk.",,
1918,"You toss the blood-encrusted crimson badge on the guildmaster's desk.",,
1919,"You rub your crystal orb!",,"%s rubs a crystal orb!"
1920,"%s is healed of %d damage!","You are healed of %d damage!","%s is healed of %s damage!"
1921,"You rub your marble orb!",,"%s rubs a marble orb!"
1922,"%s receives a boost of mana!","You receive a boost of mana!","%s receives a boost of mana!"
1923,"You point your teak wand at %s!","%s points a teak wand at you!","%s points a teak wand at %s!"
1924,"You point your mahogany wand at %s!","%s points a mahogany wand at you!","%s points a mahogany wand at %s!"
1925,"You point your pine wand at %s!","%s points a pine wand at you!","%s points a pine wand at %s!"
1926,"A blue glow surrounds %s!","A feeling of freedom fills you!","%s is surrounded by a blue glow!"
1927,"You brandish your darkwood rod at %s!","%s brandishes a darkwood rod at you!","%s brandishes a darkwood rod at %s!"
1928,"You brandish your silverwood rod at %s!","%s brandishes a silverwood rod at you!","%s brandishes a silverwood rod at %s!"
1929,"A concealed door opens to the %s!",,
1930,"open door %s",,
1931,"A concealed trap-door opens!",,
1932,"camouflaged trap-door %s",,
1933,"The %s rips you for %d damage!","The %s rips %s for %s damage!","The wraith loses its form, and vanishes into the wind!"
1934,"The %s touches you with a ghostly hand for %d damage!","The %s touches %s with a ghostly hand for %s damage!","The spectre shrieks in fury, and fades from view!"
1935,"You have created a small spectral horde.",,
1936,"You have created a medium spectral horde.",,
1937,"You have created a large spectral horde.",,
1938,"You give the wispy fragment of shadow material to the guildmaster.",,
1939,"You hand over the spectral shroud to the guildmaster.",,
1940,"With a proud grin, you hand the summoning bone to the guildmaster.",,
1941,"You climb out of the underwater passage.","%s climbs out of the underwater passage.","%s pops up in the centre of the pool, and swims to the edge."
1942,"You climb out of the underwater passage.","%s climbs out of the underwater passage.","%s climbs up out of the well!"
1943,"You dive into the shimmering pool!","%s dives into the shimmering pool!",
1944,"You climb into the well!","%s climbs into the well!",
1945,"A concealed stone door swings open!",,
1946,"open stone door %s",,
1947,"The black altar slowly swings aside with a hideous grinding noise!",,
1948,"small dark passage %s",,
1949,"With a hideous grinding noise, a small passage opens!",,
1950,"push eye","move eye","touch eye"
1951,"As you touch the eye, it glows red, and sinks into the altar!","%s touches the altar's eye, which glows red and sinks out of sight!",
1952,"go hole","enter hole","go passage"
1953,"You step into the hole, and begin to slide down the passage!","%s climbs into the hole, and begins to slide down!","%s drops down through the hole in the ceiling of the cave!"
1954,"You have a strange feeling that time is running out!","You have a strange feeling that time is running out!",
1955,"You climb up into the rectangular shaft.","%s climbs up into the rectangular shaft.","%s climbs up through the shaft in the floor."
1956,"push block","push square block","move block"
1957,"You push the stone block, and it slides into the wall.","%s pushes the stone block, and it slides into the wall.",
1958,"A section of the wall swings open!",,
1959,"open wall %s",,
1960,"You are surrounded by a shimmering blue light, and vanish!","%s is surrounded by a shimmering blue light, and vanishes!",
1961,"You re-appear directly over a dark rectangular shaft!","%s appears in a flash of blue light, directly over the recangular shaft!",
1962,"With a sickening lurch, you fall down through the shaft!","%s falls down through the shaft!",
1963,"You land with a bone-breaking thud, right in a burning pit!","%s falls down through the shaft, and lands in the burning pit!",
1964,,"You take %d damage from the flames!","%s takes %s damage from the flames!"
1965,"You take fall damage!","You take %d damage from the fall!","%s takes %s damage from the fall!"
1966,"You hear a grinding sound from above!","You hear a grinding sound from above!",
1967,"With a loud grinding noise, a concealed passage opens in the ceiling!",,
1968,"stone ramp %s",,
1969,"A heated wind howls through the passageway, kicking up sand and dust.","A heated wind howls through the passageway, kicking up sand and dust.",
1970,"Beast-like screams echo unnervingly throughout the passageways.","Beast-like screams echo unnervingly throughout the passageways.",
1971,"The clicking sound of scrabbling claws can be heard from down the passage.","The clicking sound of scrabbling claws can be heard from down the passage.",
1972,"Eerie lights dance about further down the passageway.","Eerie lights dance about further down the passageway.",
1973,"You jump into the shaft, and begin to slide down!","%s jumps into the shaft!",
1974,"Darts fire out of the walls and pierce you!",,"Darts fire out of the walls, piercing %s!"
1975,"Sharp bolts fly out of the darkness, impaling you!",,"Sharp bolts fly out of the darkness, impaling %s!"
1976,"A wickedly sharp blade sweeps out and slices you!",,"A wickedly sharp blade sweeps out and slices %s!"
1977,"A blast of flame jets out and burns you!","A blast of flame jets out and burns you!",
1978,"A heavy stone block falls and crushes you!",,"A heavy stone block falls and crushes %s!"
1979,"One of the doors creaks!",,
1980,"open door %s",,
1981,"You cannot do that while there are enemies present!",,
1982,"You heave mightily on the winch, and it begins to turn!","%s heaves mightily on the winch, and it begins to turn!",
1983,"You heave mightily on the winch, but it does not budge.","%s heaves mightily on the winch, but it does not budge.",
1984,"You are stopped by an invisible barrier!",,
1985,"The wooden drawbridge lowers with a heavy thud!",,
1986,"lowered drawbridge %s",,
1987,"push pearl","move pearl",
1988,"You push the pearl.","%s pushes the pearl.",
1989,"The %s claws you for %d damage!","The %s claws %s for %s damage!","The nekojin hisses in pain and fury, and collapses!"
1990,"""I apologize, but you do not have enough money.""",,
1991,"The %s slashes you for %d damage!","The %s slashes %s for %s damage!","The stronghold guard clutches his stomach, and falls dead."
1992,"The sergeant says, ""Come back when you've proven your worth.""",,
1993,"The sergeant says, ""Excellent! Now that you're blooded, you may pass.""",,
1994,"The %s slashes you for %d damage!","The %s slashes %s for %s damage!","The sergeant of the guards yells for aid, and falls dead!"
1995,"The light in the moon-lamp flickers, and goes out.",,
1996,,,"The illusion vanishes in a flash!"
1997,"You suddenly convulse in extreme pain.",,"%s convulses in pain!"
1998,"The %s claws you for %d damage!","The %s claws %s for %s damage!","The rakshasha roars in fury, and vanishes in a puff of flame!"
1999,"You raise your hands and utter a word of power!","%s raises a hand and utters a word of power!","%s raises a hand and utters a word of power!"
2000,"Forked lightning streaks out and fries %s for %d damage!","Forked lightning streaks out and fries you for %d damage!","Forked lightning streaks out and fries %s for %s damage!"
2001,"The %s claws you for %d damage!","The %s claws %s for %s damage!","The rakshasha rajah screams in frustration, and vanishes!"
2002,"You turn the book-stand, and hear a small click from the back of the room!","%s turns the book-stand. You hear a small click!",
2003,"You cannot seem to open the book!",,
2004,"You flip through the book, but can make no sense of the writing.",,
2005,"The seeress says: ""Why do you speak to me? You have nothing to say.""",,
2006,"You do not have any dwarven ale!",,
2007,"The withered old man greedily takes the dwarven ale, and begins to drink.",,
2008,"You softly speak the word of power!","%s softly says something.",
2009,"You toil at mining some ore, but are unsuccessful this time.",,
2010,"The master smith waves you off in disgust when you give him nothing.",,
2011,,"%s falls out of the shaft in the ceiling, down into the one in the floor!",
2012,"A strange sensation comes over you!","%s vanishes in a flash!",
2013,"You take a swig of water from your waterskin.",,"%s takes a swig of water from a waterskin."
2014,"You discard your empty waterskin.",,
2015,"You suffer in the desert heat... you need water, soon!",,
2016,"A %s charges in from %s!","The %s runs out to %s!","The %s charges after you with a battle cry!"
2017,"The %s slashes you for %d damage!","The %s slashes %s for %s damage!","The saracen howls in pain, and falls dead!"
2018,"Vultures circle high overhead.",,
2019,"A shimmering image appears to the west!",,
2020,"A shimmering image appears to the east!",,
2021,"A shimmering image appears to the north!",,
2022,"A shimmering image appears to the south!",,
2023,"The howl of some awful beast can be heard far over the dunes.",,
2024,"A whirling sandstorm appears out of nowhere, and sweeps you away!","A whirling sandstorm appears out of nowhere, and sweeps you away!","A whirling sandstorm appears out of nowhere, and sweeps you away!"
2025,"Suddenly a sinkhole opens up under you, and you are swallowed by sand!",,"With a puff of dust, %s is suddenly swallowed up by a sinkhole!"
2026,"A giant roc flies in from %s!","The giant roc flies off to %s!","The %s flies after you!"
2027,"The %s rips you with its talons for %d damage!","The %s rips %s with its talons for %s damage!","The roc, gravely wounded, screeches and flies off into the sky."
2028,"The %s rips you with its beak for %d damage!","The %s rips %s with its beak for %s damage!",
2029,"The %s bites you for %d damage!","The %s bites %s for %s damage!","The sandworm starts whipping about in pain, then lays still."
2030,"A %s suddenly forms beside you!",,
2031,"The %s strikes you for %d damage!","The %s strikes %s for %s damage!","The dustdevil shudders and vanishes into the sand."
2032,,"The %s throws a %s at you for %d damage!","The %s throws a %s at %s for %s damage!"
2033,"The %s slices you for %d damage!","The %s slices %s for %s damage!","The nomad grunts in agony, spits up blood, and falls dead."
2034,"The nomad says, ""Alas, you do not have enough gold.""",,
2035,"The nomad takes your gold, and hands you a heavy waterskin.","%s buys a waterskin from the nomad.",
2036,"The %s pounds you for %d damage!","The %s pounds %s for %s damage!","The zealot shrieks to his god for aid, and falls dead!"
2037,"You summon the power of the elements!","%s makes a mighty gesture!","%s makes a mighty gesture!"
2038,"Shards of stone slice %s for %d damage!","Shards of stone slice you for %d damage!","Shards of stone slice %s for %s damage!"
2039,"Lightning strikes %s for %d damage!","Lightning strikes you for %d damage!","Lightning strikes %s for %s damage!"
2040,"Fire burns %s for %d damage!","Fire burns you for %d damage!","Fire burns %s for %s damage!"
